year_of_assessment,economic_sector,no_of_companies,assessable_income,chargeable_income,net_tax_assessed
2004,Agriculture & Fishing,83,23368,na,na
2004,Mining & Quarrying,8,3157,na,na
2004,Manufacturing,2985,5759079,na,na
2004,Utilities,18,227498,na,na
2004,Construction,1770,609634,na,na
2004,Wholesale & Retail Trade,9549,6821027,na,na
2004,Hotels & Restaurants,420,229275,na,na
2004,Transport & Communications,1896,4513485,na,na
2004,Financial,3403,10051255,na,na
2004,Real Estate & Business Activities,5822,4184382,na,na
2004,Others,1591,755250,na,na
2005,Agriculture & Fishing,43,17002,na,na
2005,Mining & Quarrying,8,2758,na,na
2005,Manufacturing,2949,7898577,na,na
2005,Utilities,64,657867,na,na
2005,Construction,1742,450029,na,na
2005,Wholesale & Retail Trade,9430,9478344,na,na
2005,Hotels & Restaurants,391,289983,na,na
2005,Transport & Communications,2704,4406298,na,na
2005,Financial,3299,12358275,na,na
2005,Real Estate & Business Activities,5250,3635895,na,na
2005,Others,1494,592027,na,na
2006,Agriculture & Fishing,38,15963,na,3125
2006,Mining & Quarrying,5,15641,na,3128
2006,Manufacturing,3126,10463874,na,1717082
2006,Utilities,73,570313,na,114015
2006,Construction,1924,500064,na,99275
2006,Wholesale & Retail Trade,10566,12361331,na,2014896
2006,Hotels & Restaurants,491,460337,na,92059
2006,Transport & Communications,3078,4661510,na,923805
2006,Financial,3601,12503897,na,1927521
2006,Real Estate & Business Activities,6187,4317499,na,814072
2006,Others,1752,562728,na,111533
2007,Agriculture & Fishing,24,5086,na,1017
2007,Mining & Quarrying,4,366,na,73
2007,Manufacturing,2995,10833396,na,1582445
2007,Utilities,76,842339,na,168393
2007,Construction,2072,537159,na,106129
2007,Wholesale & Retail Trade,11666,15097037,na,2475938
2007,Hotels & Restaurants,609,659958,na,131991
2007,Transport & Communications,3477,5263900,na,1041957
2007,Financial,3758,17507425,na,2833853
2007,Real Estate & Business Activities,7388,5029850,na,936057
2007,Others,1984,598975,na,118710
2008,Manufacturing,3444,na,13710625,1593402
2008,Construction,2891,na,983896,176586
2008,Utilities,92,na,1094942,197089
2008,Other Goods Industries,42,na,9001,1620
2008,Wholesale & Retail Trade,13789,na,17055120,2582419
2008,Hotels & Restaurants,826,na,922199,165976
2008,Transport & Storage,2665,na,3675013,638860
2008,Information & Communications,1600,na,2550162,434754
2008,Financial,4495,na,21951629,3234165
2008,Real Estate & Business Activities,9627,na,6444267,1109889
2008,Others,2748,na,913451,162641
2009,Manufacturing,4278,na,11279731,1554005
